chave_catalogo,nome_magia,nivel,origem_lista,dominio,eh_magia_dominio,familia_tendencia,modo_restricao,subvariantes_tendencia,subvariantes_por_alinhamento,pode_leal_bom,pode_leal_neutro,pode_leal_mau,pode_neutro_bom,pode_neutro,pode_neutro_mau,pode_caotico_bom,pode_caotico_neutro,pode_caotico_mau,alinhamentos_permitidos,alinhamentos_bloqueados,requer_dominio_escolhido,dominios_opostos_bloqueiam,observacao
CLERIGO_BASE_0_CRIAR_AGUA,Criar Água,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_CURA_MENOR,Cura Menor,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_DETECTAR_MAGIA,Detectar Magia,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_DETECTAR_VENENO,Detectar Veneno,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_GUIA,Guia,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_LUZ,Luz,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_ORIENTACAO,Orientação,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_0_RESISTENCIA,Resistência,0,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_1_ABENCOAR,Abençoar,1,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_1_CURA_LEVE,Cura Leve,1,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
